name,url,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
麻辣诱惑(清河五彩城店) 分店,/shop/5251044,川菜,海淀区清河中街68号华润置地五彩城4楼L4号 82816797,川菜 清河 上地,水煮鱼 毛血旺 小米椒爱上小公鸡,75,9.1,8.9,9.1,339,116.33931,40.036457
丰隆麻辣香锅(虎坊桥店),/shop/2088733,川菜,东城区珠市口西大街临2号 63165355,香锅 前门,青笋 午餐肉 腐竹,52,6.8,4.9,5.5,339,116.395065,39.89557
青稞缘酒家,/shop/511799,西北菜,西城区广安门外大街广华轩2号楼 63413693,西北菜 广外大街,洋芋盖被 酸奶 酿皮,40,7.7,6.4,6.5,338,116.34625,39.89625
簋街仔仔(五分店) 分店,/shop/516546,小吃快餐 川菜,东城区东直门内大街213号 64063295,川菜 烧烤 东直门,烤鱼 烤鸡翅 烤生蚝,79,6.9,5.4,5.3,338,116.43179,39.946877
群生世家餐饮(东坝店) 分店,/shop/2240488,北京菜,朝阳区东坝南门滨河路 84316800,家常菜 婚宴酒店 东坝,驴肉火烧 红焖小毛驴 驴肉炖豆腐,64,8.4,8.3,8.1,337,116.56598,39.977493
龙港酒楼,/shop/511015,东北菜,西城区复兴门北大街5号黑龙江宾馆1楼 68019722,东北菜 复兴门,锅包肉 大拉皮 德莫利炖鱼,62,7.5,6.9,6.7,337,116.36276,39.918854
便宜坊烤鸭店(玉蜓桥店) 分店,/shop/510309,北京菜,东城区东蒲路73号楼 67020904,烤鸭 婚宴酒店 天坛,烤鸭 盐水鸭肝 肉丝拉皮,104,7.2,6.6,6.8,337,0,0
钱柜KTV自助餐(朝外店) 分店,/shop/584515,自助餐,朝阳区朝阳门外大街22号泛利大厦1楼 65883333,自助餐 朝外大街,卤肉饭 麻辣烫 蛋挞,76,6.1,7.8,7.3,336,116.44642,39.928448
南来顺小吃(南菜园店) 分店,/shop/2666302,小吃快餐,西城区南菜园街12号 63587679,老北京小吃 右安门,豆腐脑 羊肉串 面茶,21,7.9,7.3,6.9,336,116.361,39.876476
和合谷(华威店) 分店,/shop/513623,小吃快餐,西城区西单北大街130号西单购物中心B1楼 66024637,快餐/简餐 西单,鸡肉饭 牛肉饭 麻婆豆腐饭,26,6.9,6.7,6.6,336,116.380806,39.917465
呷哺呷哺(华普店) 分店,/shop/511558,火锅,朝阳区朝阳门外大街19号华普超市B1楼美食街 ,其他火锅 朝外大街,麻酱小料 蔬菜拼盘 豆皮,40,7.7,6.1,6.4,336,116.44522,39.93051
呷哺呷哺(枫蓝国际店) 分店,/shop/3379594,火锅,海淀区西直门北大街32号枫蓝国际中心3楼 吉野家旁 ,其他火锅 西直门/动物园,麻酱小料 羊肉 金针菇,38,8.5,8,8.2,336,116.36278,39.958496
重庆鸡公煲(大望路店) 分店,/shop/2273362,火锅,朝阳区南磨房农光南路甲1号 87384981,其他火锅 劲松/潘家园,鸡公煲 金针菇 牛蛙煲,37,8.7,6.6,7.6,335,116.48306,39.886314
杨老黑卤煮小肠,/shop/1939666,小吃快餐,西城区天桥北纬路917总站附近 63168619,老北京小吃 虎坊桥,卤煮火烧 炸灌肠 卤煮,29,8.3,8,8.3,335,116.40028,39.89001
