name,url,id,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
和你槑玩槑了(西直门凯德MALL店) 分店,/shop/4718747,4718747,小吃快餐,西城区西直门外大街1号凯德MALL购物中心B1楼 58301789,零食 食品茶酒 西直门/动物园,梅方片 梅苏苏 梅飞色舞,25,8.8,8.4,8.6,136,116.35896,39.947514
古秦人家,/shop/2726284,2726284,西北菜,海淀区学清路41号裕京大厦1楼 82837586,西北菜 五道口,肉夹馍 凉皮 羊肉泡馍,21,7.9,7.4,7.8,136,116.35859,40.01109
德克士(北京站店) 分店,/shop/2396125,2396125,小吃快餐,东城区毛家湾胡同甲13号北京站出站口西侧 51019153,快餐/简餐 建国门/北京站,鸡腿 咖喱鸡饭 鸡排大亨,29,7.5,7.3,7.4,136,116.434074,39.910336
雅克西食府,/shop/1945453,1945453,新疆菜,朝阳区潘家园武圣路西里14号 87370716,新疆菜 劲松/潘家园,大盘鸡 板筋 酸奶,43,7.1,6.9,6.8,135,116.474174,39.883915
新辣道鱼火锅(安贞店) 分店,/shop/5436116,5436116,火锅,朝阳区安贞西里5区4号安贞华联商厦 64441966,鱼火锅 安贞,梭边鱼 蔬菜吧 QQ豆腐,82,8.2,8.2,8.3,135,116.40774,39.976578
同一首歌自助餐(世界城店),/shop/4218652,4218652,自助餐,朝阳区东大桥路10号世界城商业街D栋B1楼 64618886,自助餐 建外大街,麻辣烫 卤肉饭 蔬菜沙拉,73,7.2,8.1,7.7,135,116.45824,39.9233
天津来子熏鸡店(安乐林店) 分店,/shop/2118457,2118457,小吃快餐,东城区安乐林路10-6号 61282788,熟食 食品茶酒 沙子口,熏鸡 鹌鹑蛋 豆皮,22,7.9,6.9,7.5,135,116.42009,39.871407
顺口溜(远洋店) 分店,/shop/3153211,3153211,小吃快餐,朝阳区东四环中路56号远洋国际中心c座107室 57233028,其他小吃 大望路,岐山臊子面 肉夹馍 岐山干拌面,26,7.4,7.7,7.5,135,116.49791,39.91959
双渔座火锅,/shop/4296386,4296386,火锅,朝阳区东三环南路102号强强酒店写字楼3楼 87388686,其他火锅 劲松/潘家园,梭边鱼火锅 蓝莓山药 乌梅汁,66,8.2,8.3,8.1,135,116.46663,39.87134
食立方 分店,/shop/3306949,3306949,小吃快餐,多家连锁店 ,快餐/简餐,五仁粥 双椒闷面 洋葱肉饼,26,6.4,6.6,6.9,135,116.454704,39.961258
